,Pacto/Lista,Partido,Votos,Porcentaje,Electos,Comuna
0,XS. FRENTE AMPLIO,,571,"43,29%",,ALHUE
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,571,"43,29%",,ALHUE
2,YN. UNIDAD CONSTITUYENTE,,748,"56,71%",,ALHUE
3,205. CLAUDIO ORREGO LARRAIN,PDC,748,"56,71%",*,ALHUE
0,XS. FRENTE AMPLIO,,6940,"47,73%",,BUIN
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,6940,"47,73%",,BUIN
2,YN. UNIDAD CONSTITUYENTE,,7599,"52,27%",,BUIN
3,205. CLAUDIO ORREGO LARRAIN,PDC,7599,"52,27%",*,BUIN
0,XS. FRENTE AMPLIO,,2090,"36,96%",,CALERA DE TANGO
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,2090,"36,96%",,CALERA DE TANGO
2,YN. UNIDAD CONSTITUYENTE,,3565,"63,04%",,CALERA DE TANGO
3,205. CLAUDIO ORREGO LARRAIN,PDC,3565,"63,04%",*,CALERA DE TANGO
0,XS. FRENTE AMPLIO,,8075,"55,88%",,CERRILLOS
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,8075,"55,88%",,CERRILLOS
2,YN. UNIDAD CONSTITUYENTE,,6376,"44,12%",,CERRILLOS
3,205. CLAUDIO ORREGO LARRAIN,PDC,6376,"44,12%",*,CERRILLOS
0,XS. FRENTE AMPLIO,,15172,"69,49%",,CERRO NAVIA
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,15172,"69,49%",,CERRO NAVIA
2,YN. UNIDAD CONSTITUYENTE,,6660,"30,51%",,CERRO NAVIA
3,205. CLAUDIO ORREGO LARRAIN,PDC,6660,"30,51%",*,CERRO NAVIA
0,XS. FRENTE AMPLIO,,5845,"26,25%",,COLINA
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,5845,"26,25%",,COLINA
2,YN. UNIDAD CONSTITUYENTE,,16423,"73,75%",,COLINA
3,205. CLAUDIO ORREGO LARRAIN,PDC,16423,"73,75%",*,COLINA
0,XS. FRENTE AMPLIO,,15065,"58,56%",,CONCHALI
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,15065,"58,56%",,CONCHALI
2,YN. UNIDAD CONSTITUYENTE,,10662,"41,44%",,CONCHALI
3,205. CLAUDIO ORREGO LARRAIN,PDC,10662,"41,44%",*,CONCHALI
0,XS. FRENTE AMPLIO,,2774,"46,61%",,CURACAVI
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,2774,"46,61%",,CURACAVI
2,YN. UNIDAD CONSTITUYENTE,,3177,"53,39%",,CURACAVI
3,205. CLAUDIO ORREGO LARRAIN,PDC,3177,"53,39%",*,CURACAVI
0,XS. FRENTE AMPLIO,,14972,"58,31%",,EL BOSQUE
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,14972,"58,31%",,EL BOSQUE
2,YN. UNIDAD CONSTITUYENTE,,10706,"41,69%",,EL BOSQUE
3,205. CLAUDIO ORREGO LARRAIN,PDC,10706,"41,69%",*,EL BOSQUE
0,XS. FRENTE AMPLIO,,2840,"50,21%",,EL MONTE
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,2840,"50,21%",,EL MONTE
2,YN. UNIDAD CONSTITUYENTE,,2816,"49,79%",,EL MONTE
3,205. CLAUDIO ORREGO LARRAIN,PDC,2816,"49,79%",*,EL MONTE
0,XS. FRENTE AMPLIO,,15642,"57,92%",,ESTACION CENTRAL
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,15642,"57,92%",,ESTACION CENTRAL
2,YN. UNIDAD CONSTITUYENTE,,11362,"42,08%",,ESTACION CENTRAL
3,205. CLAUDIO ORREGO LARRAIN,PDC,11362,"42,08%",*,ESTACION CENTRAL
0,XS. FRENTE AMPLIO,,9321,"44,89%",,HUECHURABA
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,9321,"44,89%",,HUECHURABA
2,YN. UNIDAD CONSTITUYENTE,,11444,"55,11%",,HUECHURABA
3,205. CLAUDIO ORREGO LARRAIN,PDC,11444,"55,11%",*,HUECHURABA
0,XS. FRENTE AMPLIO,,9600,"53,54%",,INDEPENDENCIA
1,201. KARINA LORETTA OLIVA PEREZ,COMUNES,9600,"53,54%",,INDEPENDENCIA
